CodProvincia,Provincia,CodMunicipio,Municipio,Poblacion
03,Alicante/Alacant,051,"Campo de Mirra/Camp de Mirra, el",444
03,Alicante/Alacant,052,Cañada,1237
03,Alicante/Alacant,053,Castalla,10573
03,Alicante/Alacant,054,Castell de Castells,478
03,Alicante/Alacant,055,Catral,9083
03,Alicante/Alacant,056,Cocentaina,11591
03,Alicante/Alacant,057,Confrides,283
03,Alicante/Alacant,058,Cox,7077
03,Alicante/Alacant,059,Crevillent,28439
03,Alicante/Alacant,060,Quatretondeta,109
03,Alicante/Alacant,061,Daya Nueva,1996
03,Alicante/Alacant,062,Daya Vieja,758
03,Alicante/Alacant,063,Dénia,44455
03,Alicante/Alacant,064,Dolores,7362
03,Alicante/Alacant,065,Elche/Elx,230587
03,Alicante/Alacant,066,Elda,54536
03,Alicante/Alacant,067,Facheca,104
03,Alicante/Alacant,068,Famorca,59
03,Alicante/Alacant,069,Finestrat,6932
03,Alicante/Alacant,070,Formentera del Segura,4559
03,Alicante/Alacant,071,Gata de Gorgos,6327
03,Alicante/Alacant,072,Gaianes,445
03,Alicante/Alacant,073,Gorga,261
03,Alicante/Alacant,074,Granja de Rocamora,2461
03,Alicante/Alacant,075,"Castell de Guadalest, el",238
03,Alicante/Alacant,076,Guardamar del Segura,17138
03,Alicante/Alacant,077,"Fondó de les Neus, el/Hondón de las Nieves",3037
03,Alicante/Alacant,078,Hondón de los Frailes,1238
03,Alicante/Alacant,079,Ibi,23616
03,Alicante/Alacant,080,Jacarilla,2076
03,Alicante/Alacant,081,Xaló,3301
03,Alicante/Alacant,082,Jávea/Xàbia,32983
03,Alicante/Alacant,083,Jijona/Xixona,7423
03,Alicante/Alacant,084,"Lorcha/Orxa, l'",729
03,Alicante/Alacant,085,Llíber,1071
03,Alicante/Alacant,086,Millena,217
03,Alicante/Alacant,088,Monforte del Cid,7803
03,Alicante/Alacant,089,Monóvar/Monòver,12844
03,Alicante/Alacant,090,Mutxamel,23834
03,Alicante/Alacant,091,Murla,598
03,Alicante/Alacant,092,Muro de Alcoy,9010
03,Alicante/Alacant,093,Novelda,26692
03,Alicante/Alacant,094,"Nucia, la",19135
03,Alicante/Alacant,095,Ondara,6657
03,Alicante/Alacant,096,Onil,7697
03,Alicante/Alacant,097,Orba,2604
03,Alicante/Alacant,098,Orxeta,921
03,Alicante/Alacant,099,Orihuela,90087
03,Alicante/Alacant,100,Parcent,1131
03,Alicante/Alacant,101,Pedreguer,7751
03,Alicante/Alacant,102,Pego,11029
03,Alicante/Alacant,103,Penàguila,318
03,Alicante/Alacant,104,Petrer,34697
03,Alicante/Alacant,105,"Pinós, el/Pinoso",7908
03,Alicante/Alacant,106,Planes,831
03,Alicante/Alacant,107,Polop,4549
03,Alicante/Alacant,109,Rafal,4213
03,Alicante/Alacant,110,"Ràfol d'Almúnia, el",749
03,Alicante/Alacant,111,Redován,7554
03,Alicante/Alacant,112,Relleu,1342
03,Alicante/Alacant,113,Rojales,22006
03,Alicante/Alacant,114,"Romana, la",2509
03,Alicante/Alacant,115,Sagra,446
03,Alicante/Alacant,116,Salinas,1603
03,Alicante/Alacant,117,Sanet y Negrals,700
03,Alicante/Alacant,118,San Fulgencio,12529
03,Alicante/Alacant,119,Sant Joan d'Alacant,22740
03,Alicante/Alacant,120,San Miguel de Salinas,7602
03,Alicante/Alacant,121,Santa Pola,33965
03,Alicante/Alacant,122,San Vicente del Raspeig/Sant Vicent del Raspeig,55100
03,Alicante/Alacant,123,Sax,10069
03,Alicante/Alacant,124,Sella,626
03,Alicante/Alacant,125,Senija,642
03,Alicante/Alacant,127,Tàrbena,809
03,Alicante/Alacant,128,Teulada,14578
03,Alicante/Alacant,129,Tibi,1761
03,Alicante/Alacant,130,Tollos,45
03,Alicante/Alacant,131,Tormos,386
03,Alicante/Alacant,132,"Torremanzanas/Torre de les Maçanes, la",797
03,Alicante/Alacant,133,Torrevieja,103720
03,Alicante/Alacant,134,"Vall d'Alcalà, la",175
03,Alicante/Alacant,135,"Vall d'Ebo, la",286
03,Alicante/Alacant,136,Vall de Gallinera,676
03,Alicante/Alacant,137,"Vall de Laguar, la",959
03,Alicante/Alacant,138,"Verger, el",4992
03,Alicante/Alacant,139,"Villajoyosa/Vila Joiosa, la",33293
03,Alicante/Alacant,140,Villena,34894
03,Alicante/Alacant,901,"Poblets, els",3404
03,Alicante/Alacant,902,Pilar de la Horadada,23403
03,Alicante/Alacant,903,"Montesinos, Los",5203
03,Alicante/Alacant,904,San Isidro,1921
04,Almería,001,Abla,1465
04,Almería,002,Abrucena,1360
04,Almería,003,Adra,24626
04,Almería,004,Albánchez,774
04,Almería,005,Alboloduy,674
04,Almería,006,Albox,10821
04,Almería,007,Alcolea,895
04,Almería,008,Alcóntar,624
04,Almería,009,Alcudia de Monteagud,151
04,Almería,010,Alhabia,680
04,Almería,011,Alhama de Almería,3847
04,Almería,012,Alicún,267
04,Almería,013,Almería,191443
04,Almería,014,Almócita,188
04,Almería,015,Alsodux,149
04,Almería,016,Antas,3312
04,Almería,017,Arboleas,4990
04,Almería,018,Armuña de Almanzora,340
04,Almería,019,Bacares,292
04,Almería,020,Bayárcal,376
04,Almería,021,Bayarque,224
04,Almería,022,Bédar,1083
04,Almería,023,Beires,111
04,Almería,024,Benahadux,4201
04,Almería,026,Benitagla,78
04,Almería,027,Benizalón,288
04,Almería,028,Bentarique,278
04,Almería,029,Berja,15504
04,Almería,030,Canjáyar,1438
04,Almería,031,Cantoria,3956
04,Almería,032,Carboneras,8081
04,Almería,033,Castro de Filabres,157
04,Almería,034,Cóbdar,156
04,Almería,035,Cuevas del Almanzora,13296
04,Almería,036,Chercos,307
04,Almería,037,Chirivel,1811
04,Almería,038,Dalías,4019
04,Almería,041,Enix,456
04,Almería,043,Felix,662
04,Almería,044,Fines,2260
04,Almería,045,Fiñana,2367
04,Almería,046,Fondón,989
04,Almería,047,Gádor,3241
04,Almería,048,"Gallardos, Los",3831
04,Almería,049,Garrucha,8748
04,Almería,050,Gérgal,1086
04,Almería,051,Huécija,519
04,Almería,052,Huércal de Almería,16319
04,Almería,053,Huércal-Overa,18686
04,Almería,054,Illar,416
04,Almería,055,Instinción,470
04,Almería,056,Laroya,170
04,Almería,057,Láujar de Andarax,1735
04,Almería,058,Líjar,471
04,Almería,059,Lubrín,1729
04,Almería,060,Lucainena de las Torres,656
04,Almería,061,Lúcar,886
04,Almería,062,Macael,5936
04,Almería,063,María,1370
04,Almería,064,Mojácar,8173
04,Almería,065,Nacimiento,512
04,Almería,066,Níjar,29465
04,Almería,067,Ohanes,714
04,Almería,068,Olula de Castro,191
04,Almería,069,Olula del Río,6500
04,Almería,070,Oria,2858
04,Almería,071,Padules,520
04,Almería,072,Partaloa,969
04,Almería,073,Paterna del Río,433
04,Almería,074,Pechina,3746
04,Almería,075,Pulpí,8848
04,Almería,076,Purchena,1761
04,Almería,077,Rágol,356
04,Almería,078,Rioja,1355
04,Almería,079,Roquetas de Mar,90358
04,Almería,080,Santa Cruz de Marchena,231
04,Almería,081,Santa Fe de Mondújar,463
04,Almería,082,Senés,307
04,Almería,083,Serón,2328
04,Almería,084,Sierro,439
04,Almería,085,Somontín,525
04,Almería,086,Sorbas,2742
04,Almería,087,Suflí,260
04,Almería,088,Tabernas,3682
04,Almería,089,Taberno,1174
04,Almería,090,Tahal,473
04,Almería,091,Terque,454
04,Almería,092,Tíjola,3838
04,Almería,093,Turre,3929
04,Almería,094,Turrillas,234
04,Almería,095,Uleila del Campo,989
04,Almería,096,Urrácal,342
04,Almería,097,Velefique,297
04,Almería,098,Vélez-Blanco,2238
04,Almería,099,Vélez-Rubio,7071
04,Almería,100,Vera,15010
04,Almería,101,Viator,5492
04,Almería,102,Vícar,24042
04,Almería,103,Zurgena,3184
04,Almería,901,"Tres Villas, Las",665
04,Almería,902,"Ejido, El",83104
04,Almería,903,"Mojonera, La",8682
05,Ávila,001,Adanero,266
05,Ávila,002,"Adrada, La",2704
05,Ávila,005,Albornos,218
05,Ávila,007,Aldeanueva de Santa Cruz,136
05,Ávila,008,Aldeaseca,273
05,Ávila,010,"Aldehuela, La",199
05,Ávila,012,Amavida,176
05,Ávila,013,"Arenal, El",1046
05,Ávila,014,Arenas de San Pedro,6841
05,Ávila,015,Arevalillo,101
05,Ávila,016,Arévalo,8118
05,Ávila,017,Aveinte,92
05,Ávila,018,Avellaneda,30
05,Ávila,019,Ávila,58915
05,Ávila,021,"Barco de Ávila, El",2715
05,Ávila,022,"Barraco, El",2085
05,Ávila,023,Barromán,199
05,Ávila,024,Becedas,261
05,Ávila,025,Becedillas,117
05,Ávila,026,Bercial de Zapardiel,245
05,Ávila,027,"Berlanas, Las",366
05,Ávila,029,Bernuy-Zapardiel,138
05,Ávila,030,Berrocalejo de Aragona,52
05,Ávila,033,Blascomillán,207
05,Ávila,034,Blasconuño de Matacabras,18
05,Ávila,035,Blascosancho,102
05,Ávila,036,"Bohodón, El",136
05,Ávila,037,Bohoyo,328
05,Ávila,038,Bonilla de la Sierra,134
05,Ávila,039,Brabos,55
05,Ávila,040,Bularros,80
05,Ávila,041,Burgohondo,1300
05,Ávila,042,Cabezas de Alambre,179
05,Ávila,043,Cabezas del Pozo,84
05,Ávila,044,Cabezas del Villar,308
05,Ávila,045,Cabizuela,111
05,Ávila,046,Canales,47
05,Ávila,047,Candeleda,5233
05,Ávila,048,Cantiveros,144
05,Ávila,049,Cardeñosa,492
05,Ávila,051,"Carrera, La",210
05,Ávila,052,Casas del Puerto,105
05,Ávila,053,Casasola,88
05,Ávila,054,Casavieja,1575
05,Ávila,055,Casillas,799
05,Ávila,056,Castellanos de Zapardiel,107
05,Ávila,057,Cebreros,3478
05,Ávila,058,Cepeda la Mora,89
05,Ávila,059,Cillán,114
05,Ávila,060,Cisla,137
05,Ávila,061,"Colilla, La",344
05,Ávila,062,Collado de Contreras,224
05,Ávila,063,Collado del Mirón,44
05,Ávila,064,Constanzana,125
05,Ávila,065,Crespos,535
05,Ávila,066,Cuevas del Valle,540
05,Ávila,067,Chamartín,89
05,Ávila,069,Donjimeno,94
05,Ávila,070,Donvidas,41
05,Ávila,072,Espinosa de los Caballeros,108
05,Ávila,073,Flores de Ávila,339
05,Ávila,074,Fontiveros,828
05,Ávila,075,Fresnedilla,112
05,Ávila,076,"Fresno, El",579
05,Ávila,077,Fuente el Saúz,192
05,Ávila,078,Fuentes de Año,135
05,Ávila,079,Gallegos de Altamiros,60
05,Ávila,080,Gallegos de Sobrinos,72
05,Ávila,081,Garganta del Villar,43
05,Ávila,082,Gavilanes,651
05,Ávila,083,Gemuño,164
05,Ávila,084,Gilbuena,88
05,Ávila,085,Gil García,40
05,Ávila,086,Gimialcón,94
05,Ávila,087,Gotarrendura,163
05,Ávila,088,Grandes y San Martín,30
05,Ávila,089,Guisando,564
05,Ávila,090,Gutierre-Muñoz,81
05,Ávila,092,Hernansancho,188
05,Ávila,093,Herradón de Pinares,532
05,Ávila,094,Herreros de Suso,164
05,Ávila,095,Higuera de las Dueñas,336
05,Ávila,096,"Hija de Dios, La",85
05,Ávila,097,"Horcajada, La",556
05,Ávila,099,Horcajo de las Torres,603
05,Ávila,100,"Hornillo, El",342
05,Ávila,101,Hoyocasero,327
05,Ávila,102,"Hoyo de Pinares, El",2449
05,Ávila,103,Hoyorredondo,83
05,Ávila,104,Hoyos del Collado,35
05,Ávila,105,Hoyos del Espino,443
05,Ávila,106,Hoyos de Miguel Muñoz,43
05,Ávila,107,Hurtumpascual,73
05,Ávila,108,Junciana,65
05,Ávila,109,Langa,520
05,Ávila,110,Lanzahíta,938
05,Ávila,112,"Losar del Barco, El",133
05,Ávila,113,"Llanos de Tormes, Los",92
05,Ávila,114,Madrigal de las Altas Torres,1621
05,Ávila,115,Maello,734
05,Ávila,116,Malpartida de Corneja,138
05,Ávila,117,Mamblas,229
05,Ávila,118,Mancera de Arriba,97
05,Ávila,119,Manjabálago,40
05,Ávila,120,Marlín,36
05,Ávila,121,Martiherrero,300
05,Ávila,122,Martínez,156
05,Ávila,123,Mediana de Voltoya,101
05,Ávila,124,Medinilla,133
05,Ávila,125,Mengamuñoz,67
05,Ávila,126,Mesegar de Corneja,77
05,Ávila,127,Mijares,828
05,Ávila,128,Mingorría,410
05,Ávila,129,"Mirón, El",152
05,Ávila,130,Mironcillo,104
05,Ávila,131,Mirueña de los Infanzones,122
05,Ávila,132,Mombeltrán,1165
05,Ávila,133,Monsalupe,60
05,Ávila,134,Moraleja de Matacabras,55
05,Ávila,135,Muñana,489
05,Ávila,136,Muñico,117
05,Ávila,138,Muñogalindo,401
05,Ávila,139,Muñogrande,81
05,Ávila,140,Muñomer del Peco,139
05,Ávila,141,Muñopepe,106
05,Ávila,142,Muñosancho,122
05,Ávila,143,Muñotello,76
05,Ávila,144,Narrillos del Álamo,91
05,Ávila,145,Narrillos del Rebollar,60
05,Ávila,147,Narros del Castillo,187
05,Ávila,148,Narros del Puerto,38
05,Ávila,149,Narros de Saldueña,130
05,Ávila,151,Navacepedilla de Corneja,116
05,Ávila,152,Nava de Arévalo,857
05,Ávila,153,Nava del Barco,110
05,Ávila,154,Navadijos,46
05,Ávila,155,Navaescurial,60
05,Ávila,156,Navahondilla,342
05,Ávila,157,Navalacruz,279
05,Ávila,158,Navalmoral,417
05,Ávila,159,Navalonguilla,289
05,Ávila,160,Navalosa,354
05,Ávila,161,Navalperal de Pinares,1001
05,Ávila,162,Navalperal de Tormes,107
05,Ávila,163,Navaluenga,2152
05,Ávila,164,Navaquesera,33
05,Ávila,165,Navarredonda de Gredos,485
05,Ávila,166,Navarredondilla,274
05,Ávila,167,Navarrevisca,312
05,Ávila,168,"Navas del Marqués, Las",5728
05,Ávila,169,Navatalgordo,255
05,Ávila,170,Navatejares,61
05,Ávila,171,Neila de San Miguel,84
05,Ávila,172,Niharra,170
05,Ávila,173,Ojos-Albos,60
05,Ávila,174,Orbita,87
05,Ávila,175,"Oso, El",210
05,Ávila,176,Padiernos,275
05,Ávila,177,Pajares de Adaja,194
05,Ávila,178,Palacios de Goda,447
05,Ávila,179,Papatrigo,265
05,Ávila,180,"Parral, El",106
05,Ávila,181,Pascualcobo,42
05,Ávila,182,Pedro Bernardo,968
05,Ávila,183,Pedro-Rodríguez,187
05,Ávila,184,Peguerinos,339
05,Ávila,185,Peñalba de Ávila,129
05,Ávila,186,Piedrahíta,2054
05,Ávila,187,Piedralaves,2288
05,Ávila,188,Poveda,58
05,Ávila,189,Poyales del Hoyo,616
05,Ávila,190,Pozanco,61
05,Ávila,191,Pradosegar,145
05,Ávila,192,Puerto Castilla,102
05,Ávila,193,Rasueros,231
05,Ávila,194,Riocabado,171
05,Ávila,195,Riofrío,247
05,Ávila,196,Rivilla de Barajas,79
05,Ávila,197,Salobral,131
05,Ávila,198,Salvadiós,85
05,Ávila,199,San Bartolomé de Béjar,47
05,Ávila,200,San Bartolomé de Corneja,65
05,Ávila,201,San Bartolomé de Pinares,621
05,Ávila,204,Sanchidrián,840
05,Ávila,205,Sanchorreja,92
05,Ávila,206,San Esteban de los Patos,36
05,Ávila,207,San Esteban del Valle,833
05,Ávila,208,San Esteban de Zapardiel,52
05,Ávila,209,San García de Ingelmos,102
05,Ávila,210,San Juan de la Encinilla,103
05,Ávila,211,San Juan de la Nava,532
05,Ávila,212,San Juan del Molinillo,289
05,Ávila,213,San Juan del Olmo,113
05,Ávila,214,San Lorenzo de Tormes,56
05,Ávila,215,San Martín de la Vega del Alberche,197
05,Ávila,216,San Martín del Pimpollar,216
05,Ávila,217,San Miguel de Corneja,75
05,Ávila,218,San Miguel de Serrezuela,159
05,Ávila,219,San Pascual,52
05,Ávila,220,San Pedro del Arroyo,471
05,Ávila,221,Santa Cruz del Valle,426
05,Ávila,222,Santa Cruz de Pinares,161
05,Ávila,224,Santa María del Arroyo,97
05,Ávila,225,Santa María del Berrocal,443
05,Ávila,226,Santa María de los Caballeros,92
05,Ávila,227,Santa María del Tiétar,568
05,Ávila,228,Santiago del Collado,199
05,Ávila,229,Santo Domingo de las Posadas,96
05,Ávila,230,Santo Tomé de Zabarcos,113
05,Ávila,231,San Vicente de Arévalo,204
05,Ávila,232,"Serrada, La",114
05,Ávila,233,Serranillos,278
05,Ávila,234,Sigeres,58
05,Ávila,235,Sinlabajos,148
05,Ávila,236,Solana de Ávila,140
05,Ávila,237,Solana de Rioalmar,211
05,Ávila,238,Solosancho,949
05,Ávila,239,Sotalbo,239
05,Ávila,240,Sotillo de la Adrada,4845
05,Ávila,241,"Tiemblo, El",4461
05,Ávila,242,Tiñosillos,834
05,Ávila,243,Tolbaños,107
05,Ávila,244,Tormellas,65
05,Ávila,245,Tornadizos de Ávila,397
05,Ávila,246,Tórtoles,73
05,Ávila,247,"Torre, La",272
05,Ávila,249,Umbrías,127
05,Ávila,251,Vadillo de la Sierra,80
05,Ávila,252,Valdecasa,70
05,Ávila,253,Vega de Santa María,96
05,Ávila,254,Velayos,262
05,Ávila,256,Villaflor,134
05,Ávila,257,Villafranca de la Sierra,151
05,Ávila,258,Villanueva de Gómez,144
05,Ávila,259,Villanueva del Aceral,155
05,Ávila,260,Villanueva del Campillo,112
05,Ávila,261,Villar de Corneja,48
05,Ávila,262,Villarejo del Valle,424
05,Ávila,263,Villatoro,191
05,Ávila,264,Viñegra de Moraña,57
05,Ávila,265,Vita,92
05,Ávila,266,Zapardiel de la Cañada,114
05,Ávila,267,Zapardiel de la Ribera,119
05,Ávila,901,San Juan de Gredos,317
05,Ávila,902,Santa María del Cubillo,338
05,Ávila,903,Diego del Carpio,175
05,Ávila,904,Santiago del Tormes,156
05,Ávila,905,Villanueva de Ávila,252
06,Badajoz,001,Acedera,810
06,Badajoz,002,Aceuchal,5702
06,Badajoz,003,Ahillones,998
06,Badajoz,004,Alange,1971
06,Badajoz,005,"Albuera, La",2078
06,Badajoz,006,Alburquerque,5587
06,Badajoz,007,Alconchel,1873
06,Badajoz,008,Alconera,744
06,Badajoz,009,Aljucén,248
06,Badajoz,010,Almendral,1286
06,Badajoz,011,Almendralejo,34694
06,Badajoz,012,Arroyo de San Serván,4267
06,Badajoz,013,Atalaya,319
06,Badajoz,014,Azuaga,8205
06,Badajoz,015,Badajoz,152270
06,Badajoz,016,Barcarrota,3692
06,Badajoz,017,Baterno,335
06,Badajoz,018,Benquerencia de la Serena,925
06,Badajoz,019,Berlanga,2486
06,Badajoz,020,Bienvenida,2275
06,Badajoz,021,Bodonal de la Sierra,1135
06,Badajoz,022,Burguillos del Cerro,3255
06,Badajoz,023,Cabeza del Buey,5338
06,Badajoz,024,Cabeza la Vaca,1430
06,Badajoz,025,Calamonte,6361
06,Badajoz,026,Calera de León,1029
06,Badajoz,027,Calzadilla de los Barros,914
06,Badajoz,028,Campanario,5256
06,Badajoz,029,Campillo de Llerena,1442
06,Badajoz,030,Capilla,182
06,Badajoz,031,Carmonita,574
06,Badajoz,032,"Carrascalejo, El",84
06,Badajoz,033,Casas de Don Pedro,1646
06,Badajoz,034,Casas de Reina,208
06,Badajoz,035,Castilblanco,1148
06,Badajoz,036,Castuera,6422
06,Badajoz,037,"Codosera, La",2337
06,Badajoz,038,Cordobilla de Lácara,979
06,Badajoz,039,"Coronada, La",2242
06,Badajoz,040,Corte de Peleas,1334
06,Badajoz,041,Cristina,561
06,Badajoz,042,Cheles,1223
06,Badajoz,043,Don Álvaro,758
06,Badajoz,044,Don Benito,37048
06,Badajoz,045,Entrín Bajo,608
06,Badajoz,046,Esparragalejo,1526
06,Badajoz,047,Esparragosa de la Serena,1069
06,Badajoz,048,Esparragosa de Lares,1018
06,Badajoz,049,Feria,1268
06,Badajoz,050,Fregenal de la Sierra,5148
